NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,1,5.127209246995335,10,3,0,0,diagonal
2,0,-1,0.3943874489996233,10,3,0,0,column
3,1,-1,10.369622587000777,16,5,0,0,no
4,1,1,9.294246909004869,13,4,0,-,row
5,1,1,4.767334800002573,13,4,0,-,column
6,1,0,-1,16,5,1,1,row
7,1,0,-1,13,4,1,2,diagonal
8,1,1,6.429005949001294,10,3,0,-,row
9,1,-1,4.281729257003462,10,3,0,-,diagonal
10,1,0,-1,10,3,0,-,no
11,1,0,-1,10,3,0,-,no
12,1,0,-1,10,3,0,-,column
13,1,0,-1,10,3,0,-,column
14,1,0,-1,10,3,0,-,row
15,1,0,-1,10,3,0,-,column
16,1,0,-1,10,3,0,-,row
17,1,0,-1,10,3,0,-,row
18,1,0,-1,10,3,0,-,row
19,1,0,-1,10,3,0,-,no
20,1,0,-1,10,3,0,-,no
21,1,0,-1,10,3,0,-,diagonal
22,1,-1,4.628410345998418,10,3,0,-,no
