2.6704 	INFO 	Screen res set as: 1920x1080
2.6714 	INFO 	Loaded monitor calibration from ['2018_09_18 09:28']
3.1547 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='Gainsboro', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f6044e85ef0>, multiSample=False, name='window1', numSamples=2, pos=None, screen=0, size=array([1920, 1080]), stereo=False, units='pix', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pygame')
3.1548 	INFO 	Detected framerate: 30 frames per sec.
3.1548 	INFO 	Mouse: using default window
3.2017 	INFO 	using sysFont Arial
3.2077 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([   0., -300.]), rgb=array([0., 0., 0.]), text=str(...), units='pix', win=Window(...), wrapWidth=1920)
3.2091 	INFO 	using sysFont Arial
3.2106 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Wstęp', units='pix', win=Window(...), wrapWidth=1920)
4.3629 	INFO 	using sysFont 
4.3639 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-74.,   0.]), rgb=array([0., 0., 0.]), text='GQ', units='pix', win=Window(...), wrapWidth=500)
4.3645 	INFO 	using sysFont 
4.3652 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='HH', units='pix', win=Window(...), wrapWidth=500)
4.3657 	INFO 	using sysFont 
4.3666 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([74.,  0.]), rgb=array([0., 0., 0.]), text='PQ', units='pix', win=Window(...), wrapWidth=500)
4.3673 	INFO 	using sysFont 
4.3690 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-74.,  72.]), rgb=array([0., 0., 0.]), text='XE', units='pix', win=Window(...), wrapWidth=500)
4.3703 	INFO 	using sysFont 
4.3713 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0., 72.]), rgb=array([0., 0., 0.]), text='LQ', units='pix', win=Window(...), wrapWidth=500)
4.3719 	INFO 	using sysFont 
4.3728 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([74., 72.]), rgb=array([0., 0., 0.]), text='LQ', units='pix', win=Window(...), wrapWidth=500)
4.3733 	INFO 	using sysFont 
4.3743 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-74., 144.]), rgb=array([0., 0., 0.]), text='JQ', units='pix', win=Window(...), wrapWidth=500)
4.3749 	INFO 	using sysFont 
4.3757 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0., 144.]), rgb=array([0., 0., 0.]), text='VV', units='pix', win=Window(...), wrapWidth=500)
4.3762 	INFO 	using sysFont 
4.3773 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 74., 144.]), rgb=array([0., 0., 0.]), text='HQ', units='pix', win=Window(...), wrapWidth=500)
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
4.3810 	EXP 	unnamed TextStim: autoDraw = True
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
8.4025 	EXP 	unnamed TextStim: autoDraw = False
9.4097 	INFO 	using sysFont 
9.4106 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-74.,   0.]), rgb=array([0., 0., 0.]), text='HK', units='pix', win=Window(...), wrapWidth=500)
9.4111 	INFO 	using sysFont 
9.4118 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='UL', units='pix', win=Window(...), wrapWidth=500)
9.4124 	INFO 	using sysFont 
9.4132 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([74.,  0.]), rgb=array([0., 0., 0.]), text='CK', units='pix', win=Window(...), wrapWidth=500)
9.4137 	INFO 	using sysFont 
9.4146 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-74.,  72.]), rgb=array([0., 0., 0.]), text='NA', units='pix', win=Window(...), wrapWidth=500)
9.4151 	INFO 	using sysFont 
9.4159 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 0., 72.]), rgb=array([0., 0., 0.]), text='PK', units='pix', win=Window(...), wrapWidth=500)
9.4164 	INFO 	using sysFont 
9.4172 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([74., 72.]), rgb=array([0., 0., 0.]), text='RK', units='pix', win=Window(...), wrapWidth=500)
9.4177 	INFO 	using sysFont 
9.4185 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([-74., 144.]), rgb=array([0., 0., 0.]), text='ZA', units='pix', win=Window(...), wrapWidth=500)
9.4191 	INFO 	using sysFont 
9.4198 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([  0., 144.]), rgb=array([0., 0., 0.]), text='FK', units='pix', win=Window(...), wrapWidth=500)
9.4203 	INFO 	using sysFont 
9.4212 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=32, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([ 74., 144.]), rgb=array([0., 0., 0.]), text='CA', units='pix', win=Window(...), wrapWidth=500)
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4256 	EXP 	unnamed TextStim: autoDraw = True
9.4258 	CRITICAL 	Experiment finished by user! f7 pressed.
